  company all Details
"
"['U72200MH1997PTC107450', 'SYNERGETICS INFORMATION TECHNOLOGY SERVICES INDIA PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2022PTC374816', 'CLOUDGROWTH PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2022PTC377502', 'CHOUGLE INFOTECH PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2016PTC282736', 'RECAHO DIGITAL PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2016PTC273613', 'ZING42 TECHNOLOGIES PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2018PTC307120', 'PRAECIPULA TECHNOLOGIES PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72200MH2014PTC252750', 'ABAAM HOSPITALITY PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2019PTC331329', 'DHANSAMRAT MARKETING PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72200MH2017PTC292141', 'HTS COMPUTERS PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72200MH2008PTC404503', 'PERFIOS SOFTWARE SOLUTIONS PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2021PTC367025', 'RIGHT PAY MONEY PRIVATE LIMITED', 'Mumbai', 'Active']"
[]
"['U72900MH2013PTC240662', 'EBRANDZ SOLUTIONS PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72200MH1999PTC122498', 'TRULY PROMPTIT PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2018PTC313315', 'ADDKR DIGITAL PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2017PTC294249', 'OCTRINE TECHNOLOGIES PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72300MH2012PTC234713', 'UNLOCK TECHNOLOGIES PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72200MH2016PTC280237', 'GREENFIELD TECHNOLOGY SOLUTIONS PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2019PTC322680', 'OMSAI NETWORK SERVICES PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2022PTC376596', 'PLUGIN LIVE TECHNOLOGIES PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2009PTC190696', 'ARCHWAY VENTURES (INTERNATIONAL) PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2008PTC187984', 'FUSION INFOVISION PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2016PTC280592', 'MOODIES MEDIA ENTERTAINMENT PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2021PTC353369', 'YDC TECHNOLOGIES INDIA PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2019PTC321835', 'AMTRIC LABS PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2021PTC356930', 'I2ENTERTAIN MEDIA TECHNOLOGIES PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2021PTC369664', 'VODICE VYAPAAR PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2021PTC362230', 'KRYPTA BLOCKCHAIN PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72300MH2013PTC242442', 'ANURATI INFOTECH PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH1997PTC107970', 'ASHWAMEDH INFOTECH PRIVATE LIMITED', 'Mumbai', 'Active']"
