company all Details
"['U72900TN2012PTC087771', 'ECPHASIS INFOTECH PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2002PTC048628', 'ADVENT DESIGNS PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2012PTC088732', 'THULIR SOFTWARE TECHNOLOGIES PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72300TN2005PTC056878', 'ADVANTAGE STRATEGIC CONSULTING PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2014PTC098359', 'JEDO TECHNOLOGIES PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2004PTC054908', 'LOHIA BIO-ENERGY FARMS AND REALTIES PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2021PTC147743', 'RAHUL VARMA PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72500TN2017PTC119134', 'KREAEDGE WEBSOLUTIONS PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2021PTC147695', 'YSQUARE TECHNOLOGY PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2019PTC132585', 'PERSYST SYSTEMS PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2021PTC141576', 'IFELSE TECHSMART SOLUTIONS PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72200TN2020PTC135754', 'ALECMO PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72100TN2020PTC135443', 'NEXTSTEP UNIVERSAL TECH PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2020PTC138969', 'GECA INNOTECH PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2017PTC119917', 'VGL TECH SOLUTIONS PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2021PTC146388', 'ANALYTICS NEXT GENERATION PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2020PTC139731', 'SYNTONIQ BEHAVIORAL INSIGHTS PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72200TN2014PTC094572', 'PROJECTSOFT GLOBAL PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2021PTC141373', 'NAUTONE PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2015PTC102434', 'TECHSUITE SYSTEMS PRIVATE LIMITED', 'Chennai', 'Active']"
[]
"['U72200TN2021PTC146349', 'BRAINWAVES NEUROREHAB SOLUTIONS PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2020PTC136917', 'EYELANCE TECH SOLUTION PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2021PTC142479', 'ZWENDE TECHNOLOGIES PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2021PTC146184', 'BOT WORKS PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72300TN2004PTC054000', 'D.K.ENTERPRISES PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72909TN2018PTC125986', 'TEAMAGNOSTICS INDIA PRIVATE LIMITED', 'Chennai', 'Active']"
